subject,model,model_method,method,k,accuracy,accuracy_drop,full_channels_acc,retention_rate
S008,CNN_SAE,CNN_SAE,default,25,0.9365,-0.0278,0.9643,97.11707974696671
S008,CNN_SAE,CNN_SAE,default,30,0.9246,-0.0159,0.9405,98.30940988835725
S008,EEGNET,EEGNET,default,10,0.9683,0.0079,0.9604,100.8225739275302
S008,EEGNET,EEGNET,default,15,0.9881,-0.0119,1.0,98.81
S008,EEGNET,EEGNET,default,20,0.9683,0.0079,0.9604,100.8225739275302
S008,EEGNET,EEGNET,default,25,0.9643,0.0119,0.9524,101.2494750104998
S008,EEGNET,EEGNET,default,30,0.9802,-0.004,0.9842,99.59357854094696
S008,ACS_SE_CNN,ACS_SE_CNN,default,10,0.8452,0.0476,0.7976,105.9679037111334
S008,ACS_SE_CNN,ACS_SE_CNN,default,15,0.8571,0.0357,0.8214,104.3462381300219
S008,ACS_SE_CNN,ACS_SE_CNN,default,20,0.9008,-0.0079,0.9087000000000001,99.13062616925278
S008,ACS_SE_CNN,ACS_SE_CNN,default,25,0.9008,-0.0079,0.9087000000000001,99.13062616925278
S008,ACS_SE_CNN,ACS_SE_CNN,default,30,0.881,0.0119,0.8691,101.3692325394086
S008,G_CARM,G_CARM-ES,ES,10,0.7817,0.0913,0.6903999999999999,113.22421784472769
S008,G_CARM,G_CARM-ES,ES,15,0.7262,0.1468,0.5793999999999999,125.33655505695549
S008,G_CARM,G_CARM-ES,ES,20,0.8056,0.0675,0.7381,109.14510228966266
S008,G_CARM,G_CARM-ES,ES,25,0.7579,0.1151,0.6428,117.90603609209707
S008,G_CARM,G_CARM-ES,ES,30,0.8373,0.0357,0.8016000000000001,104.45359281437125
S008,G_CARM,G_CARM-AS,AS,10,0.8651,0.0079,0.8572,100.92160522631826
S008,G_CARM,G_CARM-AS,AS,15,0.7778,0.0952,0.6826000000000001,113.94667447992968
S008,G_CARM,G_CARM-AS,AS,20,0.8492,0.0238,0.8253999999999999,102.88345044826752
S008,G_CARM,G_CARM-AS,AS,25,0.877,-0.004,0.881,99.54597048808172
S008,G_CARM,G_CARM-AS,AS,30,0.881,-0.0079,0.8889,99.11126110923614
S011,FBCSP,FBCSP,default,10,0.5714,-0.0635,0.6349,89.99842494881084
S011,FBCSP,FBCSP,default,15,0.5714,-0.0635,0.6349,89.99842494881084
S011,FBCSP,FBCSP,default,20,0.5238,-0.0159,0.5397000000000001,97.05391884380211
S011,FBCSP,FBCSP,default,25,0.5317,-0.0238,0.5555,95.71557155715571
S011,FBCSP,FBCSP,default,30,0.496,0.0119,0.4841,102.45816979962818
S011,CNN_SAE,CNN_SAE,default,10,0.8968,-0.0079,0.9047000000000001,99.12678235879297
S011,CNN_SAE,CNN_SAE,default,15,0.8532,0.0357,0.8175,104.36697247706421
S011,CNN_SAE,CNN_SAE,default,20,0.8651,0.0238,0.8412999999999999,102.82895518839892
S011,CNN_SAE,CNN_SAE,default,25,0.8849,0.004,0.8809,100.45408105346804
S011,CNN_SAE,CNN_SAE,default,30,0.8929,-0.004,0.8969,99.5540194001561
S011,EEGNET,EEGNET,default,10,0.9127,0.0,0.9127,100.0
S011,EEGNET,EEGNET,default,15,0.9246,-0.0119,0.9365,98.72931126534971
S011,EEGNET,EEGNET,default,20,0.9365,-0.0238,0.9603,97.52160783088618
S011,EEGNET,EEGNET,default,25,0.9127,0.0,0.9127,100.0
S011,EEGNET,EEGNET,default,30,0.9206,-0.0079,0.9285,99.14916532040927
S011,ACS_SE_CNN,ACS_SE_CNN,default,10,0.8254,0.0079,0.8175,100.9663608562691
S011,ACS_SE_CNN,ACS_SE_CNN,default,15,0.8056,0.0278,0.7777999999999999,103.57418359475443
